Match,Model Pick,Actual Result,Edge,Odds,Profit,New Bankroll
1,Home,Home,0.068,1.53,53.0,10053.0
2,Away,Home,0.281,3.3,-100.0,9953.0
3,Home,Draw,0.453,2.0,-100.0,9853.0
4,Away,Away,0.178,2.1,110.0,9963.0
5,Draw,Draw,0.237,3.25,225.0,10188.0
6,Draw,Away,0.114,3.3,-100.0,10088.0
7,Draw,Away,0.25,3.3,-100.0,9988.0
8,Away,Home,0.136,2.8,-100.0,9888.0
9,Draw,Away,0.281,3.3,-100.0,9788.0
10,Away,Away,0.19,1.73,73.0,9861.0
12,Home,Away,0.422,1.73,-100.0,9761.0
13,Draw,Home,0.234,3.75,-100.0,9661.0
14,Home,Draw,0.45,3.9,-100.0,9561.0
15,Away,Away,0.329,6.0,500.0,10061.0
16,Home,Away,0.063,2.63,-100.0,9961.0
17,Draw,Draw,0.08,4.75,375.0,10336.0
18,Away,Away,0.274,1.33,33.0,10369.0
19,Away,Away,0.281,3.8,280.0,10649.0
20,Away,Home,0.227,1.95,-100.0,10549.0
21,Draw,Home,0.073,4.75,-100.0,10449.0
22,Home,Away,0.373,2.35,-100.0,10349.0
23,Away,Home,0.134,1.7,-100.0,10249.0
24,Draw,Home,0.054,4.2,-100.0,10149.0
25,Away,Home,0.293,5.0,-100.0,10049.0
26,Home,Home,0.051,2.63,163.0,10212.0
27,Home,Draw,0.184,2.0,-100.0,10112.0
28,Away,Home,0.337,5.5,-100.0,10012.0
29,Draw,Draw,0.4,4.33,333.0,10345.0
30,Away,Home,0.23,1.65,-100.0,10245.0
31,Away,Home,0.213,3.3,-100.0,10145.0
32,Away,Away,0.406,2.2,120.0,10265.0
33,Home,Home,0.401,3.0,200.0,10465.0
34,Draw,Home,0.301,6.0,-100.0,10365.0
35,Home,Away,0.401,3.0,-100.0,10265.0
36,Draw,Home,0.171,3.9,-100.0,10165.0
37,Away,Away,0.186,2.55,155.0,10320.0
38,Away,Away,0.301,1.67,67.0,10387.0
39,Draw,Away,0.271,6.5,-100.0,10287.0
40,Draw,Away,0.129,3.75,-100.0,10187.0
41,Draw,Home,0.262,4.1,-100.0,10087.0
42,Away,Draw,0.253,2.63,-100.0,9987.0
43,Draw,Away,0.22,3.4,-100.0,9887.0
44,Draw,Draw,0.49,5.0,400.0,10287.0
45,Draw,Home,0.069,4.75,-100.0,10187.0
46,Draw,Home,0.454,3.3,-100.0,10087.0
47,Draw,Draw,0.583,4.33,333.0,10420.0
48,Away,Away,0.195,1.7,70.0,10490.0
49,Home,Draw,0.393,4.0,-100.0,10390.0
50,Draw,Away,0.086,5.25,-100.0,10290.0
51,Home,Home,0.15,1.11,11.0,10301.0
52,Away,Draw,0.092,2.1,-100.0,10201.0
53,Draw,Away,0.284,3.7,-100.0,10101.0
54,Home,Home,0.399,2.6,160.0,10261.0
55,Away,Away,0.206,1.55,55.0,10316.0
56,Away,Draw,0.53,2.8,-100.0,10216.0
57,Home,Home,0.142,2.3,130.0,10346.0
58,Draw,Draw,0.446,3.5,250.0,10596.0
59,Home,Home,0.257,1.95,95.0,10691.0
60,Draw,Draw,0.224,4.0,300.0,10991.0
61,Draw,Home,0.11,4.2,-100.0,10891.0
62,Draw,Draw,0.112,4.33,333.0,11224.0
63,Away,Away,0.204,1.44,44.0,11268.0
64,Draw,Home,0.125,4.2,-100.0,11168.0
65,Away,Away,0.21,4.5,350.0,11518.0
66,Draw,Away,0.25,3.3,-100.0,11418.0
67,Away,Away,0.214,1.42,42.0,11460.0
68,Away,Away,0.402,2.63,163.0,11623.0
69,Draw,Away,0.252,4.0,-100.0,11523.0
70,Home,Home,0.365,1.65,65.0,11588.0
71,Away,Draw,0.159,1.44,-100.0,11488.0
72,Draw,Home,0.245,3.6,-100.0,11388.0
73,Draw,Home,0.21,3.75,-100.0,11288.0
74,Home,Home,0.123,2.38,138.0,11426.0
75,Draw,Home,0.101,4.33,-100.0,11326.0
76,Draw,Home,0.157,3.5,-100.0,11226.0
